Sample in Buffer,Sample in Window,TRIGGER,spi_rtl_sck_o,spi_rtl_io0_o,spi_rtl_io1_o,spi_rtl_ss_o_0_0,adc_ready,<const0>_1,<const0>_2,<const0>_3,dds_m_tvalid_out,dds_m_reset_out,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,<const0>,ila_probe2[15:0],ila_probe3[15:0]
128,128,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32756,0000
129,129,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32755,0000
130,130,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32755,0000
131,131,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32755,0000
132,132,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32755,0000
133,133,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32755,0000
134,134,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32755,0000
135,135,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32754,0000
136,136,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32754,0000
137,137,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32754,0000
138,138,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32754,0000
139,139,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32754,0000
140,140,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32754,0000
141,141,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32753,0000
142,142,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32753,0000
143,143,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32753,0000
144,144,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32753,0000
145,145,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32753,0000
146,146,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32753,0000
147,147,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32752,0000
148,148,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32752,0000
149,149,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32752,0000
150,150,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32752,0000
151,151,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32752,0000
152,152,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32751,0000
153,153,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32751,0000
154,154,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32751,0000
155,155,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32751,0000
156,156,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32751,0000
157,157,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32750,0000
158,158,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32750,0000
159,159,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32750,0000
160,160,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32750,0000
161,161,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32750,0000
162,162,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32749,0000
163,163,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32749,0000
164,164,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32749,0000
165,165,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32749,0000
166,166,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32749,0000
167,167,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32748,0000
168,168,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32748,0000
169,169,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32748,0000
170,170,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32748,0000
171,171,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32748,0000
172,172,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32747,0000
173,173,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32747,0000
174,174,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32747,0000
175,175,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32747,0000
176,176,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32746,0000
177,177,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32746,0000
178,178,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32746,0000
179,179,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32746,0000
180,180,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32746,0000
181,181,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32745,0000
182,182,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32745,0000
183,183,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32745,0000
184,184,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32745,0000
185,185,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32744,0000
186,186,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32744,0000
187,187,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32744,0000
188,188,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32744,0000
189,189,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32743,0000
190,190,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32743,0000
191,191,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32743,0000
192,192,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32743,0000
193,193,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32742,0000
194,194,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32742,0000
195,195,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32742,0000
196,196,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32742,0000
197,197,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32741,0000
198,198,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32741,0000
199,199,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32741,0000
200,200,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32741,0000
201,201,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32741,0000
202,202,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32740,0000
203,203,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32740,0000
204,204,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32740,0000
205,205,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32740,0000
206,206,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32739,0000
207,207,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32739,0000
208,208,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32739,0000
209,209,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32738,0000
210,210,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32738,0000
211,211,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32738,0000
212,212,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32738,0000
